,chain_strength,precision
0,1.0,0.21
1,1.25,0.26
2,1.5,0.28
3,1.75,0.35
4,2.0,0.25
5,2.25,0.25
6,2.5,0.21
7,2.75,0.14
8,3.0,0.08
9,3.25,0.1
10,3.5,0.02
11,3.75,0.07
12,4.0,0.02
13,4.25,0.02
14,4.5,0.0
15,4.75,0.01
16,5.0,0.0
