,chain_strength,precision
0,1.0,0.0
1,1.25,0.03
2,1.5,0.06
3,1.75,0.23
4,2.0,0.39
5,2.25,0.45
6,2.5,0.24
7,2.75,0.23
8,3.0,0.2
9,3.25,0.13
10,3.5,0.08
11,3.75,0.1
12,4.0,0.13
13,4.25,0.03
14,4.5,0.01
15,4.75,0.03
16,5.0,0.04
17,5.25,0.03
18,5.5,0.0
19,5.75,0.01
20,6.0,0.02
21,6.25,0.0
22,6.5,0.0
23,6.75,0.0
24,7.0,0.0
25,7.25,0.0
26,7.5,0.0
27,7.75,0.0
28,8.0,0.0
29,8.25,0.0
30,8.5,0.0
31,8.75,0.0
32,9.0,0.0
33,9.25,0.0
34,9.5,0.0
35,9.75,0.0
36,10.0,0.0
37,10.25,0.0
38,10.5,0.0
39,10.75,0.0
40,11.0,0.0
41,11.25,0.0
42,11.5,0.0
43,11.75,0.0
44,12.0,0.0
