,chain_strength,precision
0,1.0,0.41
1,1.25,0.54
2,1.5,0.6
3,1.75,0.53
4,2.0,0.54
5,2.25,0.51
6,2.5,0.37
7,2.75,0.37
8,3.0,0.31
9,3.25,0.29
10,3.5,0.25
11,3.75,0.17
12,4.0,0.12
13,4.25,0.13
14,4.5,0.05
15,4.75,0.13
16,5.0,0.03
17,5.25,0.12
18,5.5,0.07
19,5.75,0.06
20,6.0,0.05
21,6.25,0.02
22,6.5,0.04
23,6.75,0.01
24,7.0,0.02
25,7.25,0.06
26,7.5,0.04
27,7.75,0.05
28,8.0,0.02
