,chain_strength,precision
0,1.0,0.04
1,1.25,0.15
2,1.5,0.22
3,1.75,0.39
4,2.0,0.42
5,2.25,0.36
6,2.5,0.23
7,2.75,0.26
8,3.0,0.21
9,3.25,0.12
10,3.5,0.12
11,3.75,0.05
12,4.0,0.02
13,4.25,0.01
14,4.5,0.01
15,4.75,0.01
16,5.0,0.01
