,file,type,chain_strength,energy,input_values,qpu
0,p10,raw,1.25,8.0,1264733710181464576,DW_2000Q_6
1,p10,raw,1.25,8.0,87835722140326400,DW_2000Q_6
2,p10,raw,1.25,10.0,52223484701686176,DW_2000Q_6
3,p10,raw,1.25,10.0,70136307125430720,DW_2000Q_6
4,p10,raw,1.25,10.0,700627215729277568,DW_2000Q_6
5,p10,raw,1.25,10.0,1664252383439985152,DW_2000Q_6
6,p10,raw,1.25,10.0,1835615531338799616,DW_2000Q_6
7,p10,raw,1.25,10.0,1313114948264106496,DW_2000Q_6
8,p10,raw,1.25,10.0,1231785663109956352,DW_2000Q_6
9,p10,raw,1.25,12.0,1519124335054010880,DW_2000Q_6
10,p10,raw,1.25,12.0,1808528508050577920,DW_2000Q_6
11,p10,raw,1.25,12.0,1177974468821359104,DW_2000Q_6
12,p10,raw,1.25,12.0,1827476324039539200,DW_2000Q_6
13,p10,raw,1.25,12.0,1772339942644529664,DW_2000Q_6
14,p10,raw,1.25,12.0,106270039681898992,DW_2000Q_6
15,p10,raw,1.25,12.0,1259069566999452160,DW_2000Q_6
16,p10,raw,1.25,12.0,584671706759158144,DW_2000Q_6
17,p10,raw,1.25,12.0,1377673890454092288,DW_2000Q_6
18,p10,raw,1.25,12.0,654028040587287040,DW_2000Q_6
19,p10,raw,1.25,12.0,1268248985711450624,DW_2000Q_6
20,p10,raw,1.25,14.0,1223092172032830208,DW_2000Q_6
21,p10,raw,1.25,14.0,1412054996905110016,DW_2000Q_6
22,p10,raw,1.25,14.0,1790621316615232000,DW_2000Q_6
23,p10,raw,1.25,14.0,637522718384273920,DW_2000Q_6
24,p10,raw,1.25,14.0,77033483998362048,DW_2000Q_6
25,p10,raw,1.25,14.0,260113156524775872,DW_2000Q_6
26,p10,raw,1.25,14.0,184964920948021760,DW_2000Q_6
27,p10,raw,1.25,14.0,1277084429365410304,DW_2000Q_6
28,p10,raw,1.25,14.0,16073225923566064,DW_2000Q_6
29,p10,raw,1.25,14.0,1808617504186145280,DW_2000Q_6
30,p10,raw,1.25,14.0,61200474128849400,DW_2000Q_6
31,p10,raw,1.25,14.0,1772335814811126272,DW_2000Q_6
32,p10,raw,1.25,14.0,1774026395932727808,DW_2000Q_6
33,p10,raw,1.25,16.0,1736483563850242560,DW_2000Q_6
34,p10,raw,1.25,16.0,1771181959332338176,DW_2000Q_6
35,p10,raw,1.25,16.0,1196720656759773696,DW_2000Q_6
36,p10,raw,1.25,16.0,1781456883329243648,DW_2000Q_6
37,p10,raw,1.25,16.0,1277071247591848448,DW_2000Q_6
38,p10,raw,1.25,16.0,1277084442536548864,DW_2000Q_6
39,p10,raw,1.25,16.0,1241060047993803520,DW_2000Q_6
40,p10,raw,1.25,16.0,1295091217613265408,DW_2000Q_6
41,p10,raw,1.25,16.0,664589946619943424,DW_2000Q_6
42,p10,raw,1.25,16.0,1267830407451646464,DW_2000Q_6
43,p10,raw,1.25,16.0,666967721029007872,DW_2000Q_6
44,p10,raw,1.25,16.0,1204899305384401408,DW_2000Q_6
45,p10,raw,1.25,16.0,43164394674395640,DW_2000Q_6
46,p10,raw,1.25,16.0,1196125271330634240,DW_2000Q_6
47,p10,raw,1.25,16.0,655901032895224192,DW_2000Q_6
48,p10,raw,1.25,16.0,620292352766630272,DW_2000Q_6
49,p10,raw,1.25,16.0,1808641105718925824,DW_2000Q_6
50,p10,raw,1.25,16.0,1808583415339457024,DW_2000Q_6
51,p10,raw,1.25,16.0,700662382988466688,DW_2000Q_6
52,p10,raw,1.25,16.0,1229918764565776896,DW_2000Q_6
53,p10,raw,1.25,18.0,1817638468416821760,DW_2000Q_6
54,p10,raw,1.25,18.0,1781486501425093120,DW_2000Q_6
55,p10,raw,1.25,18.0,1214033047227316736,DW_2000Q_6
56,p10,raw,1.25,18.0,78818051096836528,DW_2000Q_6
57,p10,raw,1.25,18.0,1240912163273185792,DW_2000Q_6
58,p10,raw,1.25,18.0,646601595055872512,DW_2000Q_6
59,p10,raw,1.25,18.0,1194493592016017920,DW_2000Q_6
60,p10,raw,1.25,18.0,79131344248084976,DW_2000Q_6
61,p10,raw,1.25,18.0,79087986544843184,DW_2000Q_6
62,p10,raw,1.25,18.0,87983576839199216,DW_2000Q_6
63,p10,raw,1.25,18.0,581981991970380288,DW_2000Q_6
64,p10,raw,1.25,18.0,1167849129944275456,DW_2000Q_6
65,p10,raw,1.25,18.0,1230609253992077824,DW_2000Q_6
66,p10,raw,1.25,18.0,656291446077299200,DW_2000Q_6
67,p10,raw,1.25,18.0,123036010954742272,DW_2000Q_6
68,p10,raw,1.25,18.0,661353507417332096,DW_2000Q_6
69,p10,raw,1.25,20.0,655593995145696128,DW_2000Q_6
70,p10,raw,1.25,20.0,88104733403855360,DW_2000Q_6
71,p10,raw,1.25,20.0,1817634117908503040,DW_2000Q_6
72,p10,raw,1.25,20.0,619725005304084864,DW_2000Q_6
73,p10,raw,1.25,20.0,1232190287808502272,DW_2000Q_6
74,p10,raw,1.25,20.0,1169047765464422912,DW_2000Q_6
75,p10,raw,1.25,20.0,628428051785030144,DW_2000Q_6
76,p10,raw,1.25,20.0,43076154647165440,DW_2000Q_6
77,p10,raw,1.25,20.0,1232157384065001984,DW_2000Q_6
78,p10,raw,1.25,20.0,664422337935964672,DW_2000Q_6
