num_variables,num_clauses,var_clause_rel,max_chain_length,num_qubits,variance
20,35,0.57,3,88,0.47
20,30,0.67,3,72,0.37
15,45,0.33,4,102,0.99
15,40,0.38,4,90,0.79
15,35,0.43,3,76,0.62
15,30,0.5,3,71,0.48
15,25,0.6,3,54,0.33
15,20,0.75,2,46,0.22
15,15,1,2,34,0.12
10,25,0.4,3,48,0.36
10,20,0.5,2,39,0.22
10,15,0.67,2,30,0.17
10,10,1,2,21,0.05
