,vars,clauses,chain_strength,precision,max_coeff,var_clause_rel,max_chain_length,num_qubits,variance,ratio_sat
0,10,10,1.5,0.51,4.0,1.0,3,60,0.0,0.27
1,10,15,1.75,0.21,4.0,0.67,4,94,0.19,0.14
2,10,20,1.75,0.21,4.0,0.5,4,114,0.1655172413793103,0.06
3,10,25,1.75,0.07,4.0,0.4,5,168,0.1647058823529411,0.04
4,15,15,1.75,0.35,4.0,1.0,4,114,0.1655172413793103,0.16
5,15,20,2.0,0.17,4.0,0.75,5,168,0.1647058823529411,0.1
6,15,25,1.75,0.1,4.0,0.6,5,192,0.1641025641025641,0.03
7,15,30,1.5,0.06,4.0,0.5,6,260,0.1767676767676767,0.02
8,15,35,2.0,0.02,6.0,0.43,6,290,0.1632653061224489,0.01
9,15,40,2.0,0.02,6.0,0.38,7,375,0.1515151515151515,0.01
10,15,45,1.0,0.0,6.0,0.33,7,408,0.1627118644067796,0.01
11,20,30,1.5,0.08,5.0,0.67,6,290,0.1632653061224489,0.02
12,20,35,1.25,0.02,5.0,0.57,7,375,0.1515151515151515,0.01
