,vars,clauses,max_chain_length,num_qubits,variance
0,10,10,2,21,0.05
1,10,15,2,30,0.17
2,10,20,2,40,0.23
3,10,25,3,49,0.31
4,15,15,2,34,0.12
5,15,20,2,43,0.18
6,15,25,3,59,0.31
7,15,30,3,69,0.39
8,15,35,3,79,0.58
9,15,40,4,93,0.74
10,15,45,4,99,0.88
11,20,30,3,71,0.37
12,20,35,3,89,0.61
