,nodes,avgs,max_lengths,medians,variances
0,5,2.0,2,2.0,0.0
1,6,2.6666666666666665,3,3.0,0.26666666666666666
2,7,2.2857142857142856,3,2.0,0.2380952380952381
3,8,2.5,3,2.5,0.2857142857142857
4,9,2.6666666666666665,3,3.0,0.25
5,10,3.0,4,3.0,0.4444444444444444
6,11,3.0,4,3.0,0.4
7,12,2.6666666666666665,4,2.5,0.6060606060606061
8,13,2.8461538461538463,3,3.0,0.14102564102564102
9,14,3.0,4,3.0,0.3076923076923077
10,15,3.0,4,3.0,0.2857142857142857
11,16,2.875,3,3.0,0.11666666666666667
12,17,3.1176470588235294,4,3.0,0.3602941176470588
13,18,3.4444444444444446,4,3.0,0.26143790849673204
14,19,3.6315789473684212,4,4.0,0.2456140350877193
15,20,3.2,4,3.0,0.16842105263157894
16,21,3.9047619047619047,4,4.0,0.09047619047619047
17,22,3.5454545454545454,4,4.0,0.2597402597402597
18,23,3.8260869565217392,4,4.0,0.15019762845849802
19,24,4.0,5,4.0,0.34782608695652173
20,25,4.0,5,4.0,0.3333333333333333
21,26,3.8461538461538463,5,4.0,0.4553846153846154
22,27,4.148148148148148,5,4.0,0.2849002849002849
23,28,4.071428571428571,5,4.0,0.36507936507936506
24,29,4.137931034482759,5,4.0,0.4088669950738916
25,30,4.333333333333333,5,4.0,0.22988505747126436
26,31,4.451612903225806,5,4.0,0.25591397849462366
27,32,4.5625,5,5.0,0.2540322580645161
28,33,4.515151515151516,5,5.0,0.25757575757575757
29,34,4.823529411764706,6,5.0,0.39215686274509803
30,35,4.714285714285714,6,5.0,0.3277310924369748
31,36,4.777777777777778,6,5.0,0.292063492063492
32,37,5.162162162162162,6,5.0,0.36186186186186187
33,38,4.842105263157895,5,5.0,0.13655761024182075
34,39,5.333333333333333,6,5.0,0.2280701754385965
35,40,5.15,6,5.0,0.3358974358974359
36,41,5.365853658536586,6,5.0,0.3378048780487805
37,42,5.428571428571429,6,5.0,0.34843205574912894
38,43,5.4186046511627906,7,5.0,0.43964562569213733
39,44,5.454545454545454,6,5.0,0.2536997885835095
40,45,5.644444444444445,7,6.0,0.4161616161616162
41,46,5.913043478260869,7,6.0,0.2589371980676329
42,47,5.872340425531915,7,6.0,0.20074005550416282
43,48,5.875,7,6.0,0.4521276595744681
44,49,6.0,7,6.0,0.25
45,50,6.0,7,6.0,0.4897959183673469
46,51,5.921568627450981,7,6.0,0.2337254901960784
47,52,6.038461538461538,7,6.0,0.4298642533936652
48,53,6.452830188679245,7,6.0,0.32946298984034833
49,54,6.444444444444445,7,7.0,0.4025157232704402
50,55,6.236363636363636,7,6.0,0.2579124579124579
51,56,6.392857142857143,7,6.0,0.24285714285714285
52,57,6.631578947368421,8,7.0,0.3082706766917293
53,58,6.862068965517241,8,7.0,0.191167574107683
54,59,6.694915254237288,8,7.0,0.2846288720046756
55,60,6.8,8,7.0,0.2305084745762712
56,61,6.934426229508197,8,7.0,0.3289617486338798
57,62,6.838709677419355,8,7.0,0.39978847170809095
58,63,7.253968253968254,8,7.0,0.32155657962109574
59,64,7.1875,8,7.0,0.28174603174603174
60,65,7.292307692307692,8,7.0,0.2725961538461538
61,66,7.151515151515151,8,7.0,0.37668997668997667
62,67,7.7164179104477615,9,8.0,0.2668475802804161
63,68,7.529411764705882,8,8.0,0.2528533801580334
64,69,7.608695652173913,9,8.0,0.30051150895140666
65,70,7.628571428571429,9,8.0,0.294824016563147
66,71,7.873239436619718,9,8.0,0.39798792756539236
67,72,7.694444444444445,9,8.0,0.2715179968701095
68,73,8.136986301369863,9,8.0,0.3976407914764079
69,74,7.972972972972973,9,8.0,0.35542391706775267
70,75,8.08,9,8.0,0.23675675675675675
71,76,8.131578947368421,9,8.0,0.22245614035087719
72,77,8.337662337662337,9,8.0,0.2265892002734108
73,78,8.35897435897436,9,8.0,0.336996336996337
74,79,8.468354430379748,9,8.0,0.252190847127556
75,80,8.475,9,8.5,0.3031645569620253
76,81,8.654320987654321,10,9.0,0.27901234567901234
77,82,8.536585365853659,10,9.0,0.30111412225233364
78,83,8.771084337349398,10,9.0,0.3737878342638848
79,84,8.80952380952381,10,9.0,0.3488238668961561
80,85,8.976470588235294,10,9.0,0.26134453781512607
81,86,8.976744186046512,10,9.0,0.2582763337893297
82,87,9.160919540229886,10,9.0,0.3691526329858326
83,88,9.227272727272727,10,9.0,0.31556948798328105
84,89,9.213483146067416,10,9.0,0.3970888661899898
85,90,9.222222222222221,10,9.0,0.3096129837702871
86,91,9.406593406593407,10,9.0,0.33284493284493283
87,92,9.391304347826088,10,9.0,0.2408026755852843
88,93,9.612903225806452,11,10.0,0.41374474053295934
89,94,9.76595744680851,11,10.0,0.2672157401052391
90,95,9.663157894736843,11,10.0,0.2683090705487122
91,96,9.8125,11,10.0,0.2802631578947368
92,97,10.041237113402062,11,10.0,0.37328178694158076
93,98,10.020408163265307,11,10.0,0.39133179044813804
94,99,10.141414141414142,11,10.0,0.36755308183879615
95,100,10.08,11,10.0,0.43797979797979797
96,101,10.376237623762377,11,10.0,0.31702970297029703
97,102,10.254901960784315,11,10.0,0.35022325761987966
98,103,10.388349514563107,11,10.0,0.31829430801446795
99,104,10.403846153846153,12,10.0,0.359596713965646
100,105,10.628571428571428,12,11.0,0.31263736263736264
101,106,10.716981132075471,12,11.0,0.31913746630727763
102,107,10.77570093457944,12,11.0,0.36430964556515605
103,108,10.907407407407407,12,11.0,0.3464866735894773
104,109,10.944954128440367,12,11.0,0.2747196738022426
105,110,10.8,12,11.0,0.30825688073394497
106,111,11.09009009009009,12,11.0,0.26453726453726456
107,112,11.214285714285714,12,11.0,0.35006435006435005
108,113,11.424778761061948,12,11.0,0.3536662452591656
109,114,11.24561403508772,12,11.0,0.3285204160844589
110,115,11.565217391304348,13,12.0,0.42334096109839814
111,116,11.482758620689655,13,11.0,0.2866566716641679
112,117,11.692307692307692,13,12.0,0.35278514588859416
113,118,11.677966101694915,13,12.0,0.2543821526872374
114,119,11.857142857142858,13,12.0,0.25907990314769974
115,120,11.75,13,12.0,0.42436974789915966
116,121,11.96694214876033,13,12.0,0.2988980716253443
117,122,12.065573770491802,13,12.0,0.2931852052567403
118,123,12.146341463414634,13,12.0,0.4538184726109556
119,124,12.080645161290322,13,12.0,0.3999475478625754
120,125,12.352,13,12.0,0.2621935483870968
121,126,12.301587301587302,13,12.0,0.3723174603174603
122,127,12.622047244094489,14,13.0,0.3957005374328209
123,128,12.453125,14,12.0,0.312746062992126
124,129,12.565891472868216,13,13.0,0.24757751937984496
125,130,12.6,14,13.0,0.27286821705426356
126,131,12.801526717557252,14,13.0,0.28338226658837345
127,132,12.772727272727273,14,13.0,0.2685634975711311
128,133,12.969924812030076,14,13.0,0.3324219640009114
129,134,13.014925373134329,14,13.0,0.4057905958927169
130,135,13.237037037037037,14,13.0,0.3314538419016031
131,136,13.132352941176471,14,13.0,0.32309368191721133
132,137,13.248175182481752,14,13.0,0.3350150279089738
133,138,13.27536231884058,14,13.0,0.317782714482175
134,139,13.503597122302159,15,13.0,0.28078406839745595
135,140,13.514285714285714,15,13.5,0.2803699897225077
136,141,13.560283687943262,15,14.0,0.2766970618034448
137,142,13.605633802816902,14,14.0,0.24053541104784737
138,143,13.874125874125873,15,14.0,0.4206638431990544
139,144,13.73611111111111,15,14.0,0.30749805749805753
140,145,13.972413793103449,15,14.0,0.3881226053639847
141,146,13.986301369863014,15,14.0,0.3170524326877657
142,147,14.068027210884354,15,14.0,0.3926008759668251
143,148,14.135135135135135,15,14.0,0.2809339952197095
144,149,14.295302013422818,15,14.0,0.2905858879013241
145,150,14.28,15,14.0,0.41771812080536913
146,151,14.403973509933774,16,14.0,0.3223841059602649
