,vars,clauses,max_chain_length,num_qubits,variance
0,10,10,3,35,0.3
1,10,15,4,61,0.84
2,10,20,5,76,1.64
3,10,25,6,90,2.43
4,15,15,4,65,0.7
5,15,20,5,89,1.55
6,15,25,6,119,2.28
7,15,30,7,131,4.17
8,15,35,9,162,5.61
9,15,40,9,176,6.39
10,15,45,10,195,8.09
11,20,30,7,134,3.12
12,20,35,8,177,4.28
