,vars,clauses,max_chain_length,num_qubits,variance
0,10,10,2,21,0.05
1,10,15,2,28,0.11
2,10,20,2,34,0.12
3,10,25,2,43,0.18
4,15,15,2,33,0.09
5,15,20,2,40,0.13
6,15,25,2,49,0.18
7,15,30,3,61,0.28
8,15,35,3,70,0.37
9,15,40,3,77,0.43
10,15,45,3,89,0.53
11,20,30,2,65,0.21
12,20,35,3,78,0.32
