,chain_strength,precision
0,1.0,0.0
1,1.25,0.0
2,1.5,0.0
3,1.75,0.04
4,2.0,0.07
5,2.25,0.19
6,2.5,0.21
7,2.75,0.19
8,3.0,0.16
9,3.25,0.19
10,3.5,0.14
11,3.75,0.12
12,4.0,0.13
13,4.25,0.16
14,4.5,0.08
15,4.75,0.12
16,5.0,0.09
