,chain_strength,precision
0,1.0,0.45
1,1.25,0.65
2,1.5,0.58
3,1.75,0.57
4,2.0,0.54
5,2.25,0.4
6,2.5,0.42
7,2.75,0.45
8,3.0,0.41
9,3.25,0.26
10,3.5,0.28
11,3.75,0.2
12,4.0,0.15
13,4.25,0.13
14,4.5,0.17
15,4.75,0.15
16,5.0,0.07
