,chain_strength,precision
0,1.0,0.03
1,1.25,0.52
2,1.5,0.71
3,1.75,0.83
4,2.0,0.8
5,2.25,0.77
6,2.5,0.71
7,2.75,0.51
8,3.0,0.55
9,3.25,0.52
10,3.5,0.43
11,3.75,0.34
12,4.0,0.32
13,4.25,0.27
14,4.5,0.29
15,4.75,0.19
16,5.0,0.23
