,chain_strength,precision
0,1.0,0.43
1,1.25,0.77
2,1.5,0.86
3,1.75,0.82
4,2.0,0.75
5,2.25,0.61
6,2.5,0.65
7,2.75,0.44
8,3.0,0.44
9,3.25,0.36
10,3.5,0.46
11,3.75,0.38
12,4.0,0.26
13,4.25,0.23
14,4.5,0.19
15,4.75,0.15
16,5.0,0.15
