,chain_strength,precision
0,1.0,0.29
1,1.25,0.43
2,1.5,0.61
3,1.75,0.69
4,2.0,0.84
5,2.25,0.83
6,2.5,0.77
7,2.75,0.71
8,3.0,0.58
9,3.25,0.6
10,3.5,0.51
11,3.75,0.43
12,4.0,0.3
13,4.25,0.44
14,4.5,0.41
15,4.75,0.35
16,5.0,0.27
