,chain_strength,precision
0,1.0,0.0
1,1.25,0.01
2,1.5,0.07
3,1.75,0.19
4,2.0,0.2
5,2.25,0.16
6,2.5,0.11
7,2.75,0.12
8,3.0,0.07
9,3.25,0.05
10,3.5,0.04
11,3.75,0.03
12,4.0,0.0
13,4.25,0.0
14,4.5,0.0
15,4.75,0.0
16,5.0,0.0
17,5.25,0.0
18,5.5,0.0
19,5.75,0.0
20,6.0,0.0
21,6.25,0.0
22,6.5,0.0
23,6.75,0.0
24,7.0,0.0
