,chain_strength,precision
0,1.0,0.01
1,1.25,0.0
2,1.5,0.06
3,1.75,0.06
4,2.0,0.02
5,2.25,0.01
6,2.5,0.01
7,2.75,0.0
8,3.0,0.0
9,3.25,0.0
10,3.5,0.0
11,3.75,0.0
12,4.0,0.0
13,4.25,0.0
14,4.5,0.0
15,4.75,0.0
16,5.0,0.0
