,chain_strength,precision
0,1.0,0.02
1,1.25,0.29
2,1.5,0.57
3,1.75,0.53
4,2.0,0.5
5,2.25,0.45
6,2.5,0.34
7,2.75,0.19
8,3.0,0.11
9,3.25,0.1
10,3.5,0.15
11,3.75,0.07
12,4.0,0.05
13,4.25,0.07
14,4.5,0.06
15,4.75,0.03
16,5.0,0.05
