chain_strength,precision
1,0
1.25,0.02
1.5,0.1
1.75,0.17
2,0.3
2.25,0.24
2.5,0.23
2.75,0.18
3.0,0.11
3.25,0.02
3.5,0.04
3.75,0.05
4,0.04
4.25,0.01
4.5,0.02
4.75,0
5,0
5.25,0.01
5.5,0
5.75,0
6.0,0
